Course Name,Status,Priority,City,Address,Google Maps Link,Website,Booking Link,Price Tier,Price Range,Date Played,Time of Day,Conditions When Played,My Rating (1-10),Player 1,Score 1,Player 2,Score 2,Player 3,Score 3,Player 4,Score 4,Notes
Texas Star Golf Course,To Play,,Euless,"1400 Texas Star Pkwy, Euless, TX 76040",https://www.google.com/maps/search/?api=1&query=Texas+Star+Golf+Course+Euless+TX,https://www.texasstargolf.com,https://www.texasstargolf.com/tee-times/,$$,$50-80,,,,,,,,,,,,AvidGolfer Best Overall West 2025
Fields Ranch West,To Play,,Frisco,"3255 PGA Pkwy, Frisco, TX 75033",https://www.google.com/maps/search/?api=1&query=Fields+Ranch+West+Frisco+TX,https://www.omnipgafrisco.com/golf/fields-ranch,https://www.omnipgafrisco.com/golf/fields-ranch/book-tee-time,$$$$,$150+,,,,,,,,,,,,AvidGolfer Best Overall East 2025 - Beau Welling design
Bridlewood Golf Club,To Play,,Flower Mound,"4000 W Windsor Dr, Flower Mound, TX 75028",https://www.google.com/maps/search/?api=1&query=Bridlewood+Golf+Club+Flower+Mound+TX,https://www.bridlewoodgolfclub.com,https://www.bridlewoodgolfclub.com/tee-times,$$$$,$125+,,,,,,,,,,,,AvidGolfer Platinum 2025
Fields Ranch East,To Play,,Frisco,"3255 PGA Pkwy, Frisco, TX 75033",https://www.google.com/maps/search/?api=1&query=Fields+Ranch+East+Frisco+TX,https://www.omnipgafrisco.com/golf/fields-ranch,https://www.omnipgafrisco.com/golf/fields-ranch/book-tee-time,$$$$,$150+,,,,,,,,,,,,AvidGolfer Platinum 2025 - Gil Hanse design
Heritage Ranch Golf & CC,To Play,,McKinney,"465 Scenic Ranch Cir, McKinney, TX 75069",https://www.google.com/maps/search/?api=1&query=Heritage+Ranch+Golf+McKinney+TX,https://www.heritageranchcc.com,https://www.heritageranchcc.com/golf/,$$$$,$125+,,,,,,,,,,,,AvidGolfer Platinum 2025
Old American Golf Club,To Play,,The Colony,"1001 Lebanon Rd, The Colony, TX 75056",https://www.google.com/maps/search/?api=1&query=Old+American+Golf+Club+The+Colony+TX,https://www.oldamericangc.com,https://www.oldamericangc.com/tee-times/,$$$$,$125+,,,,,,,,,,,,AvidGolfer Platinum 2025
Sky Creek Ranch Golf Club,To Play,,Keller,"600 Promontory Dr, Keller, TX 76248",https://www.google.com/maps/search/?api=1&query=Sky+Creek+Ranch+Golf+Club+Keller+TX,https://www.skycreekranchgc.com,https://www.skycreekranchgc.com/tee-times/,$$$$,$125+,,,,,,,,,,,,AvidGolfer Platinum 2025
Texas Rangers Golf Club,To Play,,Arlington,"701 Brown Blvd, Arlington, TX 76011",https://www.google.com/maps/search/?api=1&query=Texas+Rangers+Golf+Club+Arlington+TX,https://www.texasrangersgolf.com,https://www.texasrangersgolf.com/tee-times/,$$$$,$125+,,,,,,,,,,,,AvidGolfer Platinum 2025
The Tribute Golf Links,To Play,,The Colony,"1000 Boyd Rd, The Colony, TX 75056",https://www.google.com/maps/search/?api=1&query=The+Tribute+Golf+Links+The+Colony+TX,https://thetributegc.com,https://thetributegc.com/tee-times/,$$$$,$125+,,,,,,,,,,,,AvidGolfer Platinum 2025 - Links style
Tour 18 Dallas,To Play,,Flower Mound,"8718 Amen Corner, Flower Mound, TX 75022",https://www.google.com/maps/search/?api=1&query=Tour+18+Golf+Flower+Mound+TX,https://www.tour18golf.com/dallas,https://www.tour18golf.com/dallas/tee-times/,$$$$,$125+,,,,,,,,,,,,AvidGolfer Platinum 2025 - Replica holes
Wildhorse at Robson Ranch,To Play,,Denton,"9448 Ed Robson Cir, Denton, TX 76207",https://www.google.com/maps/search/?api=1&query=Wildhorse+Golf+Club+Robson+Ranch+Denton+TX,https://www.robsonranchgolfclub.com,https://www.robsonranchgolfclub.com/tee-times/,$$$$,$125+,,,,,,,,,,,,AvidGolfer Platinum 2025 - 27 holes
Bear Creek Golf Club - West,To Play,,Dallas,"3500 Bear Creek Ct, Dallas, TX 75261",https://www.google.com/maps/search/?api=1&query=Bear+Creek+Golf+Club+Dallas+TX,https://bearcreek-golf.com,https://www.golfnow.com/tee-times/facility/6374-bear-creek-golf-club-west-course/search,$$$,$80-125,,,,,,,,,,,,AvidGolfer Elite 2025 - Ted Robinson design
Buffalo Creek Golf Club,To Play,,Rockwall,"624 Country Club Dr, Rockwall, TX 75032",https://www.google.com/maps/search/?api=1&query=Buffalo+Creek+Golf+Club+Rockwall+TX,https://buffalocreekgc.com,https://buffalocreekgc.com/tee-times/,$$$,$80-125,,,,,,,,,,,,AvidGolfer Elite 2025 - Weiskopf/Morrish design
Frisco Lakes Golf Club,To Play,,Frisco,"7170 Anthem Dr, Frisco, TX 75034",https://www.google.com/maps/search/?api=1&query=Frisco+Lakes+Golf+Club+Frisco+TX,https://www.friscolakesgc.com,https://www.friscolakesgc.com/golf/tee-times,$$$,$80-125,,,,,,,,,,,,AvidGolfer Elite 2025 - Includes lunch & beer
Indian Creek Golf Club - Creek,To Play,,Carrollton,"1650 W Frankford Rd, Carrollton, TX 75007",https://www.google.com/maps/search/?api=1&query=Indian+Creek+Golf+Club+Carrollton+TX,https://www.indiancreekgolfclub.com,https://www.indiancreekgolfclub.com/tee-times/,$$$,$80-125,,,,,,,,,,,,AvidGolfer Elite 2025 - Water on all 18
The Golf Club at Fossil Creek,To Play,,Fort Worth,"3401 Clubgate Dr, Fort Worth, TX 76137",https://www.google.com/maps/search/?api=1&query=Golf+Club+Fossil+Creek+Fort+Worth+TX,https://thegolfclubatfossilcreek.com,https://www.golfnow.com/tee-times/facility/5929-the-golf-club-at-fossil-creek/search,$$$,$80-125,,,,,,,,,,,,AvidGolfer Elite 2025 - Arnold Palmer design
The Golf Club at Twin Creeks,To Play,,Allen,"501 Twin Creeks Dr, Allen, TX 75013",https://www.google.com/maps/search/?api=1&query=Golf+Club+Twin+Creeks+Allen+TX,https://twincreeksgolf.com,https://www.golfnow.com/tee-times/facility/4878-the-golf-club-at-twin-creeks/search,$$$,$80-125,,,,,,,,,,,,AvidGolfer Elite 2025 - Arnold Palmer design
